ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source,Price per Acre (USD),Total Land (m²),Price (USD),Price per m² (USD)
0,Northeast total,Northeast,1945,Total land,112402.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454875157.72,618211000.0,1.359078396584018
1,Northeast,Maine,1945,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,0.9884206520611041
2,Northeast,New Hampshire,1945,Total land,5775.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23370616.5,28875000.0,1.2355258150763802
3,Northeast,Vermont,1945,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,1.1119732335687422
4,Northeast,Massachusetts,1945,Total land,5060.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20477111.6,35420000.0,1.729736141106932
5,Northeast,Rhode Island,1945,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,1.8532887226145702
6,Northeast,Connecticut,1945,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,1.6803151085038772
7,Northeast,New York,1945,Total land,30675.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124137430.5,306750000.0,2.4710516301527603
8,Northeast,New Jersey,1945,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,2.9652619561833125
9,Northeast,Pennsylvania,1945,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,1.6061835595992944
10,Northeast,Delaware,1945,Total land,1266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5123324.76,6330000.0,1.2355258150763802
11,Northeast,Maryland,1945,Total land,6328.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25608530.080000002,31640000.0,1.2355258150763802
12,Northeast,District of Columbia,1945,Total land,39.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157827.54,195000.0,1.2355258150763802
13,Lake States total,Lake States,1945,Total land,122718.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,496622565.48,613590000.0,1.2355258150763802
14,Lake States,Michigan,1945,Total land,36494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,147686108.84,182470000.0,1.2355258150763802
15,Lake States,Wisconsin,1945,Total land,35018.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,141712943.48000002,175090000.0,1.23552581507638
16,Lake States,Minnesota,1945,Total land,51206.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,207223513.16,256030000.0,1.2355258150763802
17,Corn Belt total,Corn Belt,1945,Total land,165459.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,669589408.74,827295000.0,1.2355258150763802
18,Corn Belt,Ohio,1945,Total land,26318.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106505261.48,131590000.0,1.2355258150763802
19,Corn Belt,Indiana,1945,Total land,23171.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,93769793.06,115855000.0,1.2355258150763802
20,Corn Belt,Illinois,1945,Total land,35806.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,144901869.16,179030000.0,1.2355258150763802
21,Corn Belt,Iowa,1945,Total land,35831.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,145003040.66,179155000.0,1.2355258150763802
22,Corn Belt,Missouri,1945,Total land,44333.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179409444.38,221665000.0,1.2355258150763802
23,Northern Plains total,Northern Plains,1945,Total land,195428.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,790869756.08,977140000.0,1.2355258150763802
24,Northern Plains,North Dakota,1945,Total land,44835.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181440968.1,224175000.0,1.2355258150763802
25,Northern Plains,South Dakota,1945,Total land,48983.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198227343.38,244915000.0,1.2355258150763802
26,Northern Plains,Nebraska,1945,Total land,49058.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198530857.88,245290000.0,1.2355258150763802
27,Northern Plains,Kansas,1945,Total land,52552.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,212670586.72,262760000.0,1.2355258150763802
28,Appalachian total,Appalachian,1945,Total land,124929.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,505570172.94,624645000.0,1.2355258150763802
29,Appalachian,Virginia,1945,Total land,25535.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103336570.10000001,127675000.0,1.2355258150763802
30,Appalachian,West Virginia,1945,Total land,15418.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,62394487.480000004,77090000.0,1.2355258150763802
31,Appalachian,North Carolina,1945,Total land,31451.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,127277793.86,157255000.0,1.2355258150763802
32,Appalachian,Kentucky,1945,Total land,25670.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103882896.2,128350000.0,1.2355258150763802
33,Appalachian,Tennessee,1945,Total land,26855.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,108678425.3,134275000.0,1.2355258150763802
34,Southeast total,Southeast,1945,Total land,124450.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,503631727.0,622250000.0,1.2355258150763802
35,Southeast,South Carolina,1945,Total land,19580.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,79237518.8,97900000.0,1.2355258150763802
36,Southeast,Georgia,1945,Total land,37452.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,151563000.72,187260000.0,1.2355258150763802
37,Southeast,Florida,1945,Total land,34728.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,140539354.08,173640000.0,1.2355258150763802
38,Southeast,Alabama,1945,Total land,32690.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,132291853.4,163450000.0,1.2355258150763802
39,Delta States total,Delta States,1945,Total land,93006.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,376382261.16,465030000.0,1.2355258150763802
40,Delta States,Mississippi,1945,Total land,30349.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,122818154.14,151745000.0,1.2355258150763802
41,Delta States,Arkansas,1945,Total land,33744.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,136557243.84,168720000.0,1.2355258150763802
42,Delta States,Louisiana,1945,Total land,28913.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,117006863.18,144565000.0,1.2355258150763802
43,Southern Plains total,Southern Plains,1945,Total land,213073.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,862276600.78,1065365000.0,1.2355258150763802
44,Southern Plains,Oklahoma,1945,Total land,44341.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179441819.26000002,221705000.0,1.2355258150763802
45,Southern Plains,Texas,1945,Total land,168732.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,682834781.52,843660000.0,1.2355258150763802
46,Mountain total,Mountain,1945,Total land,549014.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2221782796.04,2745070000.0,1.2355258150763802
47,Mountain,Montana,1945,Total land,93642.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,378956064.12,468210000.0,1.2355258150763802
48,Mountain,Idaho,1945,Total land,52997.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,214471439.42000002,264985000.0,1.2355258150763802
49,Mountain,Wyoming,1945,Total land,62404.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,252540251.44,312020000.0,1.2355258150763802
50,Mountain,Colorado,1945,Total land,66539.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,269274017.54,332695000.0,1.2355258150763802
51,Mountain,New Mexico,1945,Total land,77767.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,314712161.62,388835000.0,1.2355258150763802
52,Mountain,Arizona,1945,Total land,72691.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,294170300.26,363455000.0,1.2355258150763802
53,Mountain,Utah,1945,Total land,52701.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,213273568.86,263505000.0,1.2355258150763802
54,Mountain,Nevada,1945,Total land,70273.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,284384992.78000003,351365000.0,1.2355258150763802
55,Pacific total,Pacific,1945,Total land,204883.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,829132817.38,1024415000.0,1.2355258150763802
56,Pacific,Washington,1945,Total land,42865.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,173468653.9,214325000.0,1.2355258150763802
57,Pacific,Oregon,1945,Total land,61664.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,249545575.04000002,308320000.0,1.2355258150763802
58,Pacific,California,1945,Total land,100354.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,406118588.44,501770000.0,1.2355258150763802
59,48 States,48 States,1945,Total land,1905362.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7710733263.320001,9526810000.0,1.2355258150763802
60,AK and HI,Alaska,1945,Total land,365482.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1479054486.52,1827410000.0,1.2355258150763802
61,AK and HI,Hawaii,1945,Total land,4100.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,16592126.0,20500000.0,1.2355258150763802
62,U.S. total,U.S. total,1945,Total land,2274944.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9206379875.84,11374720000.0,1.2355258150763802
63,Northeast total,Northeast,1949,Total land,112378.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454778033.08000004,618079000.0,1.359078396584018
64,Northeast,Maine,1949,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,0.9884206520611041
65,Northeast,New Hampshire,1949,Total land,5771.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23354429.060000002,28855000.0,1.2355258150763802
66,Northeast,Vermont,1949,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,1.1119732335687422
67,Northeast,Massachusetts,1949,Total land,5035.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20375940.1,35245000.0,1.729736141106932
68,Northeast,Rhode Island,1949,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,1.8532887226145702
69,Northeast,Connecticut,1949,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,1.6803151085038772
70,Northeast,New York,1949,Total land,30684.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124173852.24000001,306840000.0,2.4710516301527603
71,Northeast,New Jersey,1949,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,2.9652619561833125
72,Northeast,Pennsylvania,1949,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,1.6061835595992944
73,Northeast,Delaware,1949,Total land,1266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5123324.76,6330000.0,1.2355258150763802
74,Northeast,Maryland,1949,Total land,6324.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25592342.64,31620000.0,1.2355258150763802
75,Northeast,District of Columbia,1949,Total land,39.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157827.54,195000.0,1.2355258150763802
76,Lake States total,Lake States,1949,Total land,122711.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,496594237.46000004,613555000.0,1.2355258150763802
77,Lake States,Michigan,1949,Total land,36494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,147686108.84,182470000.0,1.2355258150763802
78,Lake States,Wisconsin,1949,Total land,35011.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,141684615.46,175055000.0,1.2355258150763802
79,Lake States,Minnesota,1949,Total land,51206.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,207223513.16,256030000.0,1.2355258150763802
80,Corn Belt total,Corn Belt,1949,Total land,165383.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,669281847.38,826915000.0,1.2355258150763802
81,Corn Belt,Ohio,1949,Total land,26240.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106189606.4,131200000.0,1.2355258150763802
82,Corn Belt,Indiana,1949,Total land,23171.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,93769793.06,115855000.0,1.2355258150763802
83,Corn Belt,Illinois,1949,Total land,35798.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,144869494.28,178990000.0,1.2355258150763802
84,Corn Belt,Iowa,1949,Total land,35869.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,145156821.34,179345000.0,1.2355258150763802
85,Corn Belt,Missouri,1949,Total land,44305.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179296132.3,221525000.0,1.2355258150763802
86,Northern Plains total,Northern Plains,1949,Total land,195432.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,790885943.52,977160000.0,1.2355258150763802
87,Northern Plains,North Dakota,1949,Total land,44836.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181445014.96,224180000.0,1.2355258150763802
88,Northern Plains,South Dakota,1949,Total land,48983.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198227343.38,244915000.0,1.2355258150763802
89,Northern Plains,Nebraska,1949,Total land,49064.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198555139.04,245320000.0,1.2355258150763802
90,Northern Plains,Kansas,1949,Total land,52549.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,212658446.14000002,262745000.0,1.2355258150763802
91,Appalachian total,Appalachian,1949,Total land,124628.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,504352068.08000004,623140000.0,1.2355258150763802
92,Appalachian,Virginia,1949,Total land,25532.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103324429.52,127660000.0,1.2355258150763802
93,Appalachian,West Virginia,1949,Total land,15411.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,62366159.46,77055000.0,1.2355258150763802
94,Appalachian,North Carolina,1949,Total land,31422.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,127160434.92,157110000.0,1.2355258150763802
95,Appalachian,Kentucky,1949,Total land,25513.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,103247539.18,127565000.0,1.2355258150763802
96,Appalachian,Tennessee,1949,Total land,26750.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,108253505.0,133750000.0,1.2355258150763802
97,Southeast total,Southeast,1949,Total land,124242.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,502789980.12,621210000.0,1.2355258150763802
98,Southeast,South Carolina,1949,Total land,19395.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,78488849.7,96975000.0,1.2355258150763802
99,Southeast,Georgia,1949,Total land,37429.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,151469922.94,187145000.0,1.2355258150763802
100,Southeast,Florida,1949,Total land,34728.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,140539354.08,173640000.0,1.2355258150763802
101,Southeast,Alabama,1949,Total land,32690.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,132291853.4,163450000.0,1.2355258150763802
102,Delta States total,Delta States,1949,Total land,92855.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,375771185.3,464275000.0,1.2355258150763802
103,Delta States,Mississippi,1949,Total land,30239.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,122372999.54,151195000.0,1.2355258150763802
104,Delta States,Arkansas,1949,Total land,33712.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,136427744.32,168560000.0,1.2355258150763804
105,Delta States,Louisiana,1949,Total land,28904.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,116970441.44,144520000.0,1.2355258150763802
106,Southern Plains total,Southern Plains,1949,Total land,212828.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,861285120.08,1064140000.0,1.2355258150763802
107,Southern Plains,Oklahoma,1949,Total land,44180.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,178790274.8,220900000.0,1.2355258150763802
108,Southern Plains,Texas,1949,Total land,168648.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,682494845.28,843240000.0,1.2355258150763802
109,Mountain total,Mountain,1949,Total land,548669.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2220386629.34,2743345000.0,1.2355258150763802
110,Mountain,Montana,1949,Total land,93362.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,377822943.32,466810000.0,1.2355258150763802
111,Mountain,Idaho,1949,Total land,52972.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,214370267.92000002,264860000.0,1.2355258150763802
112,Mountain,Wyoming,1949,Total land,62404.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,252540251.44,312020000.0,1.2355258150763802
113,Mountain,Colorado,1949,Total land,66510.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,269156658.6,332550000.0,1.2355258150763802
114,Mountain,New Mexico,1949,Total land,77767.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,314712161.62,388835000.0,1.2355258150763802
115,Mountain,Arizona,1949,Total land,72688.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,294158159.68,363440000.0,1.2355258150763802
116,Mountain,Utah,1949,Total land,52701.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,213273568.86,263505000.0,1.2355258150763802
117,Mountain,Nevada,1949,Total land,70265.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,284352617.90000004,351325000.0,1.2355258150763802
118,Pacific total,Pacific,1949,Total land,204699.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,828388195.14,1023495000.0,1.2355258150763802
119,Pacific,Washington,1949,Total land,42743.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,172974936.98000002,213715000.0,1.2355258150763802
120,Pacific,Oregon,1949,Total land,61642.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,249456544.12,308210000.0,1.2355258150763802
121,Pacific,California,1949,Total land,100314.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,405956714.04,501570000.0,1.2355258150763802
122,48 States,48 States,1949,Total land,1903825.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7704513239.5,9519125000.0,1.2355258150763802
123,AK and HI,Alaska,1949,Total land,365482.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1479054486.52,1827410000.0,1.2355258150763802
124,AK and HI,Hawaii,1949,Total land,4100.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,16592126.0,20500000.0,1.2355258150763802
125,U.S. total,U.S. total,1949,Total land,2273407.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9200159852.02,11367035000.0,1.2355258150763802
126,Northeast total,Northeast,1954,Total land,112378.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,454778033.08000004,618079000.0,1.359078396584018
127,Northeast,Maine,1954,Total land,19866.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,80394920.76,79464000.0,0.9884206520611041
128,Northeast,New Hampshire,1954,Total land,5771.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23354429.060000002,28855000.0,1.2355258150763802
129,Northeast,Vermont,1954,Total land,5938.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,24030254.68,26721000.0,1.1119732335687422
130,Northeast,Massachusetts,1954,Total land,5035.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,20375940.1,35245000.0,1.729736141106932
131,Northeast,Rhode Island,1954,Total land,677.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,2739724.22,5077500.0,1.8532887226145702
132,Northeast,Connecticut,1954,Total land,3135.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,12686906.1,21318000.0,1.6803151085038772
133,Northeast,New York,1954,Total land,30684.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,124173852.24000001,306840000.0,2.4710516301527603
134,Northeast,New Jersey,1954,Total land,4814.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,19481584.04,57768000.0,2.9652619561833125
135,Northeast,Pennsylvania,1954,Total land,28829.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,116666926.94,187388500.0,1.6061835595992944
136,Northeast,Delaware,1954,Total land,1266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5123324.76,6330000.0,1.2355258150763802
137,Northeast,Maryland,1954,Total land,6324.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25592342.64,31620000.0,1.2355258150763802
138,Northeast,District of Columbia,1954,Total land,39.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,157827.54,195000.0,1.2355258150763802
139,Lake States total,Lake States,1954,Total land,122711.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,496594237.46000004,613555000.0,1.2355258150763802
140,Lake States,Michigan,1954,Total land,36494.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,147686108.84,182470000.0,1.2355258150763802
141,Lake States,Wisconsin,1954,Total land,35011.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,141684615.46,175055000.0,1.2355258150763802
142,Lake States,Minnesota,1954,Total land,51206.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,207223513.16,256030000.0,1.2355258150763802
143,Corn Belt total,Corn Belt,1954,Total land,165383.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,669281847.38,826915000.0,1.2355258150763802
144,Corn Belt,Ohio,1954,Total land,26240.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,106189606.4,131200000.0,1.2355258150763802
145,Corn Belt,Indiana,1954,Total land,23171.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,93769793.06,115855000.0,1.2355258150763802
146,Corn Belt,Illinois,1954,Total land,35798.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,144869494.28,178990000.0,1.2355258150763802
147,Corn Belt,Iowa,1954,Total land,35869.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,145156821.34,179345000.0,1.2355258150763802
148,Corn Belt,Missouri,1954,Total land,44305.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,179296132.3,221525000.0,1.2355258150763802
149,Northern Plains total,Northern Plains,1954,Total land,195432.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,790885943.52,977160000.0,1.2355258150763802
150,Northern Plains,North Dakota,1954,Total land,44836.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,181445014.96,224180000.0,1.2355258150763802
151,Northern Plains,South Dakota,1954,Total land,48983.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198227343.38,244915000.0,1.2355258150763802
152,Northern Plains,Nebraska,1954,Total land,49064.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198555139.04,245320000.0,1.2355258150763802
153,Northern Plains,Kansas,1954,Total land,52549.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,212658446.14000002,262745000.0,1.2355258150763802
154,Appalachian total,Appalachian,1954,Total land,124628.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,504352068.08000004,623140000.0,1.2355258150763802
